Selecione de qual grupo PET faz parte:	GRR	1. Qual a frequência da tutora ou do tutor nas reuniões do grupo?	2. Qual a frequência da tutora ou do tutor nos eventos/atividades do PET?	 3. A tutora ou o tutor incentiva a participação em eventos nacionais e regionais do PET?	 4. A tutora ou o tutor cumpre com seus afazeres dentro dos prazos?	5. Quão disponível é a tutora ou o tutor para fazer orientação individualizada sobre aspectos acadêmicos e pessoais as alunas e os alunos?	6. A aplicação da verba de custeio é discutida com o grupo?	7. A tutora ou o tutor participa e não apenas delega tarefas?	8. A tutora ou o tutor compartilha as normativas do programa com as alunas e os alunos, bem com atualizações referentes ao programa?	9. A tutora ou o tutor respeita ideologias que diferem das suas, desde que não firam princípios contidos na declaração de direitos humanos bem como na constituição da República Federativa do Brasil?	10. A tutora ou o tutor é receptivo a sugestões das e dos petianos para projetos de ensino, pesquisa e extensão do grupo?	11. A tutora ou o tutor planeja as atividades do grupo juntamente com os petianos?	 12. A tutora ou o tutor supervisiona e orienta as ações dos integrantes do grupo?	13. A tutora ou o tutor promove discussões sobre condutas éticas que auxiliem na formação do petianos?	14. A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo?	15. A tutora ou o tutor, de alguma forma, favorece alguma ou algum petiano em detrimento de outros?	16. A tutora ou o tutor se mostra proativo para buscar, junto a instâncias superiores e colegas de trabalho, soluções para suprir demandas materiais e administrativas do grupo?	17. Avalie outras dimensões, categorias ou indicadores ou faça comentários adicionais.	18. Avalie esse instrumento.
Química	20165548	Sempre	Raramente	Sempre	Sempre	Frequentemente	Sempre	Raramente	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Raramente	Às vezes	Às vezes	Sempre		
Engenharia Civil	20162689	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Sempre	Não sei	Nunca	Sempre	Tutor recém-ingresso, mas com muita disposição e pró atividade.	
Ciências Sociais	20133257	Frequentemente	Frequentemente	Às vezes	Raramente	Raramente	Sempre	Raramente	Frequentemente	Às vezes	Às vezes	Frequentemente	Frequentemente	Nunca	Não sei	Sempre	Raramente		Ótima iniciativa, mas as formulações de algumas questões estão bastante confusas.
Química	20145272	Sempre	Nunca	Sempre	Sempre	Sempre	Sempre	Nunca	Às vezes	Sempre	Sempre	Frequentemente	Raramente	Raramente	Às vezes	Às vezes	Sempre		
Química	20144639	Sempre	Nunca	Sempre	Frequentemente	Nunca	Sempre	Nunca	Frequentemente	Frequentemente	Sempre	Sempre	Raramente	Raramente	Frequentemente	Sempre	Nunca	É muito esforçada, apesar de tudo. 	Muito útil.
Direito	20133868	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Raramente	Sempre	Uma tutora extremamente diligente e criativa e que melhorou em muito o PET direito, tornando-o um grupo que dá pra se orgulhar de fazer parte.	Excelente, foi capaz de abranger a maior parte dos âmbitos de avaliação objetiva do tutor de forma sucinta e clara
Ciências Sociais	20157912	Sempre	Frequentemente	Sempre	Frequentemente	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Nunca	Às vezes		Ótimo 
Direito	20133271	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Às vezes	Nunca	Sempre		
Engenharia Civil	20152629	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Às vezes	Frequentemente	Sempre	Nunca	Sempre		
Filosofia	20131210	Sempre	Às vezes	Não se aplica	Frequentemente	Às vezes	Não se aplica	Raramente	Às vezes	Frequentemente	Sempre	Frequentemente	Frequentemente	Não se aplica	Não sei	Nunca	Frequentemente		
