codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
B806,30/01/2018,13,16.9,17.1,16.6,81,90,77,13.5,15.2,13.0,906.5,906.6,906.2,1.3,99,2.8,667.8,0.0
B806,30/01/2018,5,15.6,15.7,15.4,97,97,95,15.1,15.1,14.7,904.9,905.1,904.7,0.3,148,1.6,-1.75,1.0
B806,30/01/2018,14,18.3,18.3,16.9,72,83,68,13.2,14.4,12.2,906.5,906.6,906.4,0.7,103,2.8,908.0,0.0
B806,30/01/2018,1,16.5,16.8,16.5,96,97,96,15.9,16.3,15.9,906.0,906.1,905.3,1.9,98,6.1,-1.32,0.4
B806,30/01/2018,18,21.1,21.6,20.2,////,////,////,////,////,////,905.7,906.2,905.7,1.5,74,4.0,1892.,0.0
B806,30/01/2018,15,18.8,18.9,17.7,74,79,66,14.0,15.0,11.7,906.6,906.7,906.5,1.1,10,2.5,1610.,0.0
B806,30/01/2018,16,19.4,20.0,18.5,70,79,66,13.8,15.1,12.7,906.4,906.6,906.4,1.5,77,4.0,1856.,0.0
B806,30/01/2018,23,16.8,19.0,16.8,93,93,82,15.6,16.1,15.5,906.0,906.1,905.2,1.2,104,4.6,40.77,0.0
B806,30/01/2018,17,20.6,20.6,19.4,66,73,63,13.9,14.9,12.8,906.2,906.4,906.0,1.4,58,3.9,1678.,0.0
B806,30/01/2018,6,15.6,15.7,15.5,97,97,97,15.1,15.3,15.0,904.1,904.9,904.1,0.9,68,3.0,-1.70,0.2
B806,30/01/2018,22,18.9,20.3,18.9,83,87,79,16.1,17.2,15.9,905.2,905.3,904.7,1.1,107,4.5,454.2,0.0
B806,30/01/2018,4,15.4,15.5,15.3,95,96,95,14.7,14.8,14.6,905.1,905.8,905.1,0.5,66,3.1,-1.83,0.0
B806,30/01/2018,7,15.4,15.5,15.3,97,97,96,14.9,15.0,14.7,904.3,904.4,904.1,0.5,16,3.4,-1.36,0.2
B806,30/01/2018,21,19.6,21.0,19.5,85,86,75,16.9,17.1,16.3,904.7,905.0,904.7,1.3,93,4.1,487.8,0.0
B806,30/01/2018,8,15.6,15.6,15.4,97,97,97,15.2,15.2,14.9,903.9,904.3,903.9,0.8,52,1.9,-1.86,0.0
B806,30/01/2018,3,15.3,15.7,15.3,96,97,96,14.7,15.1,14.7,905.8,906.6,905.7,0.8,69,2.4,-1.88,0.0
B806,30/01/2018,20,20.8,21.1,20.1,77,83,74,16.5,17.3,15.9,905.0,905.2,905.0,0.7,113,3.7,650.1,0.0
B806,30/01/2018,9,15.8,15.8,15.5,97,98,97,15.4,15.4,15.1,904.4,904.4,903.9,0.8,91,1.9,-1.89,0.0
B806,30/01/2018,0,16.6,17.0,16.6,96,96,96,15.9,16.4,15.9,905.3,905.5,904.3,1.7,100,7.4,-1.29,0.6
B806,30/01/2018,10,16.3,16.3,15.8,98,98,97,15.9,15.9,15.4,905.0,905.0,904.4,0.4,183,1.8,22.76,0.0
B806,30/01/2018,11,15.8,16.6,15.8,94,98,94,14.9,16.2,14.9,905.5,905.5,904.9,1.5,77,2.8,132.4,0.0
B806,30/01/2018,19,20.6,21.3,20.5,74,////,////,15.9,////,////,905.2,905.7,905.2,1.2,80,3.9,1081.,0.0
B806,30/01/2018,2,15.7,16.5,15.6,96,97,95,15.0,15.9,14.9,906.6,906.6,906.0,1.0,100,6.1,-1.36,0.4
B806,30/01/2018,12,16.6,16.6,15.8,89,95,88,14.7,15.1,14.6,906.2,906.5,905.5,0.6,89,2.8,376.6,0.0
B806,31/01/2018,19,24.9,25.1,23.3,59,66,55,16.4,17.1,14.9,907.3,907.9,907.2,1.6,110,5.8,2969.,0.0
B806,31/01/2018,1,15.9,16.2,15.7,96,96,94,15.2,15.5,14.8,906.9,907.0,906.5,0.6,153,1.3,-3.33,0.0
B806,31/01/2018,2,15.5,15.9,15.4,96,96,95,14.8,15.2,14.7,907.0,907.1,906.9,0.4,351,1.3,-3.14,0.0
B806,31/01/2018,3,16.1,16.1,15.5,97,97,96,15.7,15.7,14.8,906.8,907.0,906.7,0.3,275,1.0,-1.38,0.6
B806,31/01/2018,4,16.5,16.5,16.0,98,98,97,16.2,16.2,15.6,906.3,906.9,906.2,0.4,53,1.2,-1.07,0.4
B806,31/01/2018,5,16.8,17.0,16.5,97,98,97,16.4,16.6,16.2,906.0,906.4,905.9,0.6,97,3.4,-1.93,0.2
B806,31/01/2018,6,16.8,17.0,16.8,97,98,97,16.3,16.6,16.3,905.6,906.0,905.6,0.5,112,3.4,-2.68,0.0
B806,31/01/2018,7,16.8,16.9,16.7,97,97,97,16.4,16.5,16.3,905.8,905.8,905.6,0.3,35,2.2,-2.08,0.2
B806,31/01/2018,8,16.2,16.9,16.2,97,97,97,15.8,16.4,15.8,905.8,905.9,905.6,0.3,108,1.0,-3.15,0.0
B806,31/01/2018,9,16.2,16.3,16.2,98,98,97,15.8,15.9,15.8,906.3,906.3,905.8,0.4,92,1.0,-2.55,0.0
B806,31/01/2018,10,16.0,16.2,15.6,98,98,97,15.7,15.8,15.3,906.9,906.9,906.3,0.7,179,2.3,42.47,0.0
B806,31/01/2018,11,17.3,17.3,15.8,96,98,96,16.7,16.8,15.4,907.5,907.5,906.9,0.7,167,2.3,387.0,0.0
B806,31/01/2018,12,18.4,18.6,17.3,87,96,85,16.3,16.8,15.7,908.0,908.0,907.4,1.0,75,2.8,867.7,0.0
B806,31/01/2018,13,21.1,21.5,18.4,////,88,69,////,17.4,15.7,908.3,908.3,908.0,1.7,81,4.7,1548.,0.0
B806,31/01/2018,14,21.0,21.5,20.3,////,////,////,////,////,////,908.5,908.6,908.3,0.8,135,4.7,1815.,0.0
B806,31/01/2018,15,22.5,22.5,20.9,66,73,64,15.9,16.5,14.7,908.4,908.5,908.3,1.1,126,4.9,2136.,0.0
B806,31/01/2018,16,23.0,23.0,21.8,65,71,63,16.1,16.5,14.6,908.5,908.6,908.4,2.0,67,4.4,2090.,0.0
B806,31/01/2018,17,23.9,24.6,22.9,59,68,55,15.3,17.3,14.7,908.1,908.6,908.1,1.4,118,5.2,3817.,0.0
B806,31/01/2018,18,24.6,25.0,23.3,60,67,54,16.2,17.1,14.2,907.9,908.2,907.8,1.5,130,6.8,3126.,0.0
B806,31/01/2018,20,22.8,25.4,22.6,73,74,56,17.7,17.8,15.8,907.2,907.4,907.1,2.3,119,6.2,2220.,0.0
B806,31/01/2018,21,21.1,23.0,21.1,////,79,70,////,18.0,16.9,907.2,907.3,907.0,1.8,114,7.3,1262.,0.0
B806,31/01/2018,22,18.9,21.1,18.9,93,93,80,17.6,18.0,16.9,907.3,907.6,907.1,1.2,114,6.4,364.8,0.0
B806,31/01/2018,0,16.0,16.8,16.0,95,95,92,15.2,15.6,15.1,906.7,906.8,906.0,0.3,98,3.3,-3.60,0.0
B806,31/01/2018,23,18.0,18.9,17.9,94,94,91,16.9,17.8,16.8,907.8,907.9,907.3,1.4,114,4.9,26.26,0.0
B806,01/02/2018,2,16.9,17.1,16.8,96,97,95,16.3,16.5,16.1,908.8,908.8,908.4,0.7,104,4.5,-3.10,0.2
B806,01/02/2018,19,22.3,23.8,21.8,75,80,69,17.7,19.3,16.8,907.2,907.6,907.2,1.7,105,4.5,1619.,0.0
B806,01/02/2018,6,15.1,15.8,15.1,97,97,95,14.6,15.1,14.6,907.6,908.1,907.6,0.5,111,1.4,-2.91,0.0
B806,01/02/2018,20,21.9,22.6,21.6,////,80,69,////,18.5,16.7,906.8,907.2,906.8,2.3,103,5.4,1371.,0.0
B806,01/02/2018,7,14.2,15.2,14.2,97,97,97,13.8,14.7,13.8,907.1,907.6,907.0,0.8,42,1.6,-3.51,0.0
B806,01/02/2018,21,20.6,21.9,19.7,85,87,77,17.9,18.0,17.2,906.9,906.9,906.8,1.8,100,6.2,833.8,0.0
B806,01/02/2018,8,14.1,14.3,13.9,98,98,97,13.8,14.0,13.6,907.3,907.4,906.9,0.9,213,1.6,-3.45,0.0
B806,01/02/2018,9,14.7,14.7,14.1,98,98,98,14.4,14.4,13.8,907.9,907.9,907.3,0.7,195,1.5,-1.21,0.2
B806,01/02/2018,10,15.4,15.5,14.7,98,98,98,15.1,15.2,14.5,907.8,908.0,907.6,0.6,289,1.5,41.50,0.0
B806,01/02/2018,22,18.6,20.6,18.6,90,90,82,16.8,17.6,16.7,907.3,907.3,906.9,1.8,93,6.8,423.9,0.0
B806,01/02/2018,11,16.3,16.6,15.4,97,98,97,15.8,16.1,15.1,908.1,908.2,907.6,0.6,274,1.5,299.7,0.0
B806,01/02/2018,12,17.6,17.7,16.3,92,97,91,16.3,16.6,15.8,908.7,908.7,908.1,1.0,207,2.2,583.4,0.0
B806,01/02/2018,13,17.2,17.7,17.2,93,95,92,16.1,16.7,16.1,909.2,909.2,908.7,1.3,179,2.8,587.6,0.2
B806,01/02/2018,14,19.4,19.6,17.2,83,96,82,16.3,17.9,16.1,909.0,909.3,909.0,0.8,120,2.8,1612.,0.2
B806,01/02/2018,15,19.3,20.2,19.1,90,92,82,17.7,18.1,16.3,908.8,909.0,908.8,0.8,136,3.3,1161.,0.0
B806,01/02/2018,16,20.3,20.4,19.3,84,92,81,17.5,18.2,16.7,908.4,908.8,908.4,0.8,127,2.9,1471.,0.0
B806,01/02/2018,3,16.3,17.2,16.3,94,97,94,15.3,16.6,15.3,908.8,908.9,908.8,0.8,141,3.3,-2.73,0.6
B806,01/02/2018,1,17.1,17.6,17.0,95,96,94,16.2,16.8,16.2,908.4,908.5,907.9,1.5,106,4.5,-3.18,0.2
B806,01/02/2018,23,18.0,18.6,18.0,92,92,89,16.6,16.9,16.5,907.4,907.5,907.2,1.7,106,5.5,6869,0.0
B806,01/02/2018,0,17.4,18.0,17.4,95,95,93,16.6,16.8,16.5,908.0,908.1,907.8,1.1,113,5.4,-3.57,0.0
B806,01/02/2018,17,22.2,22.6,20.1,75,87,72,17.5,18.3,16.7,907.9,908.4,907.8,1.0,125,4.1,1894.,0.0
B806,01/02/2018,4,15.7,16.3,15.7,96,96,94,15.0,15.3,14.9,908.2,908.8,908.2,0.5,146,2.6,-3.59,0.0
B806,01/02/2018,18,21.8,23.4,21.8,76,78,71,17.4,18.7,17.2,907.6,907.9,907.5,1.1,143,5.2,2343.,0.2
B806,01/02/2018,5,15.7,15.7,15.4,96,97,95,15.0,15.1,14.7,908.0,908.4,907.9,0.6,144,1.5,-3.43,0.2
B806,02/02/2018,1,17.2,17.7,17.2,93,94,92,16.0,16.4,16.0,907.7,907.9,907.4,1.5,102,6.1,-1.68,0.0
B806,02/02/2018,6,15.4,15.8,15.4,95,96,95,14.6,15.1,14.6,906.8,907.3,906.6,1.1,356,2.0,-3.57,0.0
B806,02/02/2018,23,19.3,21.0,19.3,88,89,81,17.3,17.9,17.3,905.0,905.1,904.6,1.9,102,5.1,35.25,0.0
B806,02/02/2018,20,24.1,26.1,23.6,70,73,62,18.3,19.3,17.1,904.1,904.4,904.1,1.8,90,4.7,1300.,0.0
B806,02/02/2018,2,16.9,17.2,16.9,92,93,92,15.6,16.1,15.6,908.0,908.1,907.7,1.1,82,4.3,-2.98,0.0
B806,02/02/2018,14,21.2,21.4,19.8,75,81,73,16.6,16.8,15.0,907.3,907.4,907.3,1.0,124,3.9,1715.,0.0
B806,02/02/2018,21,23.4,24.7,23.0,72,77,66,18.0,19.1,17.5,904.2,904.5,904.1,1.7,80,5.5,1144.,0.0
B806,02/02/2018,7,15.2,15.4,15.2,97,97,95,14.6,14.8,14.6,906.2,906.9,906.1,0.5,341,1.6,-3.58,0.0
B806,02/02/2018,18,24.6,25.2,23.3,67,74,62,18.0,18.7,17.0,905.1,905.9,905.1,1.1,136,5.0,2061.,0.0
B806,02/02/2018,17,23.4,25.1,23.2,71,76,64,17.9,19.3,17.0,905.8,906.5,905.8,1.4,99,4.8,3008.,0.0
B806,02/02/2018,3,16.6,16.9,16.4,91,93,91,15.1,15.8,15.1,907.8,908.1,907.6,0.4,156,3.3,-3.40,0.0
B806,02/02/2018,10,14.8,15.1,14.7,97,97,97,14.4,14.6,14.2,906.6,906.7,905.9,0.4,330,1.8,27.76,0.0
B806,02/02/2018,12,17.7,17.7,15.9,88,96,88,15.6,15.9,15.1,907.2,907.3,906.7,1.4,200,3.3,609.0,0.0
B806,02/02/2018,19,26.1,26.1,24.6,65,70,58,19.0,19.2,16.4,904.4,905.2,904.4,1.1,107,4.7,2435.,0.0
B806,02/02/2018,13,20.2,20.2,17.6,76,88,76,15.8,16.3,14.7,907.3,907.5,907.2,0.8,128,3.7,1089.,0.0
B806,02/02/2018,22,21.0,23.4,20.9,81,82,72,17.7,18.4,17.4,904.7,904.7,904.2,1.8,93,5.5,561.8,0.0
B806,02/02/2018,0,17.7,18.0,17.7,92,93,91,16.4,16.7,16.3,907.6,907.6,907.4,1.5,95,5.4,-2.35,0.0
B806,02/02/2018,16,24.5,24.6,22.8,69,74,65,18.4,18.7,16.4,906.5,906.9,906.5,1.2,110,5.3,2619.,0.0
B806,02/02/2018,4,16.0,16.7,16.0,93,93,90,14.8,15.2,14.8,907.2,908.0,907.1,0.6,50,1.9,-3.07,0.0
B806,02/02/2018,11,16.0,16.0,14.8,96,97,96,15.3,15.3,14.3,906.7,906.8,906.6,0.6,234,1.3,190.8,0.0
B806,02/02/2018,8,14.9,15.2,14.8,97,98,97,14.4,14.8,14.3,906.3,906.5,906.0,0.6,302,1.9,-3.33,0.0
B806,02/02/2018,15,23.4,23.4,20.9,73,77,69,18.4,18.4,15.6,906.9,907.4,906.9,1.7,66,5.3,2161.,0.0
B806,02/02/2018,5,15.6,16.0,15.6,95,95,93,14.8,14.9,14.7,907.2,907.4,907.1,0.6,339,1.5,-3.59,0.0
B806,02/02/2018,9,15.0,15.5,14.9,97,98,96,14.5,15.0,14.4,906.3,906.5,906.0,0.6,322,1.5,-2.29,0.0
B806,03/02/2018,12,17.6,17.6,14.7,78,91,78,13.7,14.5,13.2,906.7,906.8,906.4,0.7,200,1.4,1407.,0.0
B806,03/02/2018,0,18.6,19.3,18.6,92,93,88,17.3,17.4,17.1,905.6,905.6,905.0,0.4,130,5.1,-3.60,0.0
B806,03/02/2018,23,17.6,18.9,17.6,86,86,74,15.2,15.2,14.2,906.9,907.2,906.7,1.2,106,7.1,53.15,0.0
B806,03/02/2018,1,18.3,18.7,18.3,93,94,92,17.1,17.4,17.1,905.9,906.1,905.6,0.5,163,2.1,-3.60,0.0
B806,03/02/2018,2,16.9,18.3,16.9,94,94,93,15.9,17.1,15.8,906.3,906.3,905.9,0.4,102,1.6,-3.60,0.0
B806,03/02/2018,3,15.9,16.9,15.9,95,95,94,15.1,15.9,15.1,906.2,906.4,906.1,0.4,85,2.2,-3.60,0.0
B806,03/02/2018,4,15.0,15.9,15.0,96,97,95,14.3,15.1,14.3,905.8,906.3,905.8,1.1,72,3.4,-3.60,0.0
B806,03/02/2018,5,15.1,15.9,14.8,97,97,95,14.6,15.3,14.2,905.8,906.0,905.8,0.9,53,4.5,-3.60,0.0
B806,03/02/2018,6,14.3,15.2,14.2,97,97,96,13.8,14.7,13.6,905.6,905.9,905.6,0.4,139,1.6,-3.60,0.0
B806,03/02/2018,7,13.5,14.4,13.3,97,98,96,13.0,14.0,12.7,905.5,905.8,905.5,0.3,35,1.5,-3.60,0.0
