codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
B806,12/03/2018,23,20.6,21.3,20.4,93,94,90,19.4,19.8,19.2,904.6,904.7,903.4,1.0,86,4.8,-1.30,0.0
B806,12/03/2018,22,21.3,23.8,21.2,91,91,82,19.9,21.4,19.4,903.5,903.6,902.8,1.3,82,6.5,232.5,0.0
B806,12/03/2018,21,23.6,29.0,23.6,86,86,52,21.2,21.7,18.1,902.9,902.9,902.2,2.0,88,5.9,913.4,0.0
B806,12/03/2018,20,29.0,29.1,26.1,54,67,49,18.8,20.3,17.7,902.4,902.7,902.4,1.5,232,3.9,1196.,0.0
B806,12/03/2018,19,28.0,29.2,27.3,55,57,49,18.2,19.0,16.9,902.5,903.3,902.4,1.3,271,5.8,1259.,0.0
B806,12/03/2018,18,28.1,29.8,27.9,54,58,46,17.9,19.0,16.8,903.1,903.8,903.1,1.3,223,8.8,2020.,0.0
B806,12/03/2018,17,29.2,29.3,27.7,46,56,46,16.6,18.9,16.5,903.8,904.5,903.7,3.3,269,9.1,3368.,0.0
B806,12/03/2018,16,28.3,28.9,27.0,53,61,52,17.8,20.3,17.2,904.5,905.0,904.5,2.6,234,9.3,2405.,0.0
B806,12/03/2018,15,27.6,27.9,26.4,55,60,53,17.6,18.8,16.9,905.0,905.8,905.0,2.6,256,7.2,2899.,0.0
B806,12/03/2018,14,26.4,26.8,25.2,55,66,55,16.6,19.0,16.6,905.8,905.9,905.6,1.5,265,4.7,2431.,0.0
B806,12/03/2018,13,25.2,25.2,22.8,66,80,66,18.3,19.8,18.3,905.8,905.8,905.2,1.6,185,3.5,1760.,0.0
B806,12/03/2018,12,22.8,22.8,18.3,78,97,78,18.8,19.2,17.8,905.2,905.2,904.9,0.9,227,1.8,1003.,0.0
B806,12/03/2018,11,18.2,18.2,16.8,97,97,96,17.7,17.7,16.3,904.8,904.9,904.4,0.2,354,1.0,103.0,0.0
B806,12/03/2018,10,16.9,17.2,16.5,97,97,96,16.4,16.7,15.9,904.4,904.5,904.1,0.3,337,1.0,1259,0.0
